timestamp,sxr_flux,hxr_flux
2026-06-30 09:45:00+00:00,1.8296425423613982e-06,3.4297215734113706e-08
2026-06-30 09:46:00+00:00,1.7532714764456614e-06,3.033999362855866e-08
2026-06-30 09:47:00+00:00,1.7164343262265902e-06,2.8737680679569166e-08
2026-06-30 09:48:00+00:00,1.7371384046782623e-06,3.186669772503592e-08
2026-06-30 09:49:00+00:00,1.7306294921581866e-06,3.1837480207741464e-08
2026-06-30 09:50:00+00:00,1.695580863270152e-06,3.1210959150484996e-08
2026-06-30 09:51:00+00:00,1.6586440096943988e-06,2.712584468156365e-08
2026-06-30 09:52:00+00:00,1.6148587747011334e-06,2.6571644440309683e-08
2026-06-30 09:53:00+00:00,1.576901922817342e-06,2.3240103175226068e-08
2026-06-30 09:54:00+00:00,1.5413546634590602e-06,2.0707627612637225e-08
2026-06-30 09:55:00+00:00,1.5424803905261797e-06,2.339769267223346e-08
2026-06-30 09:56:00+00:00,1.581024548613641e-06,2.7862039786441528e-08
2026-06-30 09:57:00+00:00,1.5602386156388093e-06,2.39911290833561e-08
2026-06-30 09:58:00+00:00,1.5200961342998198e-06,2.1291192808803316e-08
2026-06-30 09:59:00+00:00,1.4993199783930322e-06,2.0555507518338345e-08
2026-06-30 10:00:00+00:00,1.470949769100116e-06,1.9160845354804223e-08
2026-06-30 10:01:00+00:00,1.4499466942652361e-06,1.9261007011550646e-08
2026-06-30 10:02:00+00:00,1.4349017192216706e-06,1.8363575549074085e-08
2026-06-30 10:03:00+00:00,1.4211464076652192e-06,1.8994951389572634e-08
2026-06-30 10:04:00+00:00,1.4068243672227254e-06,1.6501196853369038e-08
2026-06-30 10:05:00+00:00,1.402944917572313e-06,1.7132725460555775e-08
2026-06-30 10:06:00+00:00,1.4792600495638908e-06,2.558053857626419e-08
2026-06-30 10:07:00+00:00,1.5376588180515682e-06,3.0206457779513585e-08
2026-06-30 10:08:00+00:00,1.518063982075546e-06,2.6465311719903184e-08
2026-06-30 10:09:00+00:00,1.5084622191352537e-06,2.682225641592595e-08
2026-06-30 10:10:00+00:00,1.5238174455589615e-06,2.6906096906031962e-08
2026-06-30 10:11:00+00:00,1.5713085304014385e-06,3.3069419203002326e-08
2026-06-30 10:12:00+00:00,1.609703531357809e-06,3.684794336322739e-08
2026-06-30 10:13:00+00:00,1.6398156503782957e-06,3.869724807259445e-08
2026-06-30 10:14:00+00:00,1.6593980944890063e-06,4.077816129210987e-08
2026-06-30 10:15:00+00:00,1.6726603462302592e-06,3.64033887478854e-08
2026-06-30 10:16:00+00:00,1.6468311514472589e-06,3.287881966684836e-08
2026-06-30 10:17:00+00:00,1.6252964769591927e-06,3.060142717004055e-08
2026-06-30 10:18:00+00:00,1.6023899434003397e-06,3.001226644983035e-08
2026-06-30 10:19:00+00:00,1.5571018820992322e-06,2.699317924736988e-08
2026-06-30 10:20:00+00:00,1.5507166608585976e-06,2.714049784913186e-08
2026-06-30 10:21:00+00:00,1.5609872434652061e-06,2.6941194164464832e-08
2026-06-30 10:22:00+00:00,1.6257715742540313e-06,3.531725312200251e-08
2026-06-30 10:23:00+00:00,1.6125376305353711e-06,3.057486708257784e-08
2026-06-30 10:24:00+00:00,1.600851874172804e-06,3.121464686728359e-08
2026-06-30 10:25:00+00:00,1.642608822294278e-06,3.3420313627630094e-08
2026-06-30 10:26:00+00:00,1.77365438958077e-06,4.649151108537808e-08
2026-06-30 10:27:00+00:00,1.8368899645793135e-06,5.0523169647931354e-08
2026-06-30 10:28:00+00:00,1.7880562381833442e-06,4.211898385619861e-08
2026-06-30 10:29:00+00:00,1.820715397116146e-06,4.951758469928791e-08
2026-06-30 10:30:00+00:00,1.7788114519134979e-06,4.384742524621288e-08
2026-06-30 10:31:00+00:00,1.7421234588255174e-06,4.1347391288582e-08
2026-06-30 10:32:00+00:00,1.6973696119748638e-06,3.672715820357553e-08
2026-06-30 10:33:00+00:00,1.6791278767414042e-06,3.5876023929404255e-08
2026-06-30 10:34:00+00:00,1.66939298651414e-06,3.4319576514008077e-08
